iter	MultiClass
0	1.780348018
1	1.654700353
2	1.550869844
3	1.468916983
4	1.397678692
5	1.331308419
6	1.274270407
7	1.22547682
8	1.18105684
9	1.143666296
10	1.116339758
11	1.08948791
12	1.063073772
13	1.037458873
14	1.012696929
15	0.9895750267
16	0.9695724159
17	0.9498025173
18	0.9320028422
19	0.9194051667
20	0.9059515416
21	0.8916800632
22	0.882522255
23	0.8711895729
24	0.8581935277
25	0.8467445437
26	0.8385575371
27	0.8277636452
28	0.8187588434
29	0.8117563957
30	0.8016643565
31	0.7947250227
32	0.7861261231
33	0.7786433856
34	0.7706567967
35	0.7625640045
36	0.7561720967
37	0.7483043482
38	0.7429287757
39	0.7356072736
40	0.7316355495
41	0.7305379179
42	0.7241055485
43	0.7187274589
44	0.7162643412
45	0.7155244342
46	0.7098302255
47	0.7086191189
48	0.7083790365
49	0.7044054349
50	0.699654413
51	0.6953068278
52	0.6904293905
53	0.6848015442
54	0.6800269094
55	0.6759480587
56	0.6718977822
57	0.6675088382
58	0.6671515925
59	0.6637265712
60	0.6592047295
61	0.6588870664
62	0.6554906581
63	0.6522619839
64	0.6510923331
65	0.6479712484
66	0.6459841575
67	0.6427563667
68	0.639871865
69	0.638862804
70	0.6367689302
71	0.635749644
72	0.632960137
73	0.6303921823
74	0.6270087931
75	0.6255740655
76	0.6249976896
77	0.6243303254
78	0.6231010003
79	0.6225816193
80	0.6204355258
81	0.6198316197
82	0.6197433861
83	0.618529911
84	0.6165038575
85	0.6123702759
86	0.6112930912
87	0.6090612737
88	0.6067626885
89	0.6063870578
90	0.6036838475
91	0.6019598261
92	0.59974681
93	0.596479665
94	0.5954405032
95	0.5922429252
96	0.5913584412
97	0.5911571717
98	0.590619139
99	0.5900046015
100	0.5879987813
101	0.586310368
102	0.5846311492
103	0.5819970677
104	0.5798736882
105	0.5789610206
106	0.5777391907
107	0.5758785103
108	0.5730999218
109	0.5711876815
110	0.5699085376
111	0.5679581365
112	0.566107473
113	0.5651541475
114	0.5633708594
115	0.5618135993
116	0.5605047394
117	0.5586147227
118	0.5566025859
119	0.5553089913
120	0.5538671509
121	0.5526500717
122	0.5509220487
123	0.5492113262
124	0.5478931443
125	0.5464215555
126	0.5454448423
127	0.5440164195
128	0.5421533504
129	0.5407778413
130	0.5394878626
131	0.5385055387
132	0.5375206315
133	0.5363915402
134	0.5352646232
135	0.5343364373
136	0.5333370116
137	0.5322210476
138	0.5306994702
139	0.5294304748
140	0.5286401458
141	0.5271685597
142	0.5253973504
143	0.5244265598
144	0.5237819728
145	0.5230095569
146	0.521824632
147	0.520492555
148	0.5187388744
149	0.5174216844
150	0.5167619484
151	0.5159673442
152	0.5146737414
153	0.5136169037
154	0.5125353333
155	0.511143014
156	0.5098596895
157	0.5090394587
158	0.5080912938
159	0.5065988746
160	0.5060965285
161	0.5055423058
162	0.5043307313
163	0.5036427657
164	0.5030950484
165	0.5021149034
166	0.5013345862
167	0.5003935858
168	0.4993806029
169	0.4980490534
170	0.4974289927
171	0.4962752926
172	0.4954363464
173	0.4944685424
174	0.4938043931
175	0.4932185204
176	0.4922153735
177	0.4913450512
178	0.4904011898
179	0.4896842176
180	0.4893165042
181	0.4885949936
182	0.4880663211
183	0.4872263578
184	0.4860535379
185	0.4860466119
186	0.4853028112
187	0.484644788
188	0.483701911
189	0.4830398201
190	0.4822488045
191	0.4818296272
192	0.4808601196
193	0.4804067047
194	0.4797699013
195	0.4794124064
196	0.4794050548
197	0.4785712834
198	0.4782092392
199	0.4779376289
200	0.4774262494
201	0.4765793779
202	0.4758921352
203	0.4750065174
204	0.4743015205
205	0.4733011963
206	0.4731764327
207	0.4724572767
208	0.4721054442
209	0.4713269199
210	0.4705107653
211	0.4701762455
212	0.4695686483
213	0.4691335115
214	0.468393853
215	0.4681765765
216	0.4674182776
217	0.4663928836
218	0.4658143654
219	0.4650035779
220	0.4644006933
221	0.4636673238
222	0.4630586971
223	0.462252974
224	0.4616423675
225	0.4607984895
226	0.4600986794
227	0.4596748651
228	0.4591015013
229	0.4586264749
230	0.4580433771
231	0.4572243558
232	0.4565408375
233	0.4560699074
234	0.4557757432
235	0.4552185022
236	0.4547610202
237	0.4541128713
238	0.4536796693
239	0.4532039004
240	0.4527136019
241	0.4521795245
242	0.4516928834
243	0.450895473
244	0.4505927808
245	0.4501412921
246	0.4494626845
247	0.4487204171
248	0.4482565029
249	0.4477445785
250	0.4471104823
251	0.4467110114
252	0.4462767114
253	0.4456350973
254	0.445142489
255	0.4445437003
256	0.4441946876
257	0.4439124522
258	0.44355716
259	0.4431403031
260	0.442586588
261	0.4422600553
262	0.4419435045
263	0.4415944753
264	0.4413704817
265	0.4410514299
266	0.4406445664
267	0.4403210493
268	0.4397688243
269	0.4392980845
270	0.4388383821
271	0.4385633773
272	0.4379847759
273	0.4375690466
274	0.4370601478
275	0.436656069
276	0.4359254236
277	0.4356079883
278	0.4351846408
279	0.4346413596
280	0.4340935912
281	0.4336714963
282	0.4333069315
283	0.4329838429
284	0.4323890667
285	0.431795905
286	0.4316013581
287	0.4314529202
288	0.4311128414
289	0.4306395941
290	0.4301235568
291	0.4298120452
292	0.4294629212
293	0.4291485749
294	0.428716039
295	0.4282763957
296	0.427996919
297	0.4274373423
298	0.4271510195
299	0.4268059636
300	0.4262261718
301	0.4259243637
302	0.4254214076
303	0.4251523436
304	0.425151152
305	0.4249496061
306	0.4247024198
307	0.4243278614
308	0.4240808017
309	0.42354883
310	0.4233848693
311	0.4230965707
312	0.4225265651
313	0.4220490053
314	0.421785565
315	0.4215076978
316	0.4211227262
317	0.4207680765
318	0.4205443171
319	0.420206951
320	0.4201944069
321	0.4198244204
322	0.4197096185
323	0.4191453792
324	0.4186966305
325	0.4184709744
326	0.4182553793
327	0.4179292911
328	0.4173964973
329	0.4169985431
330	0.4166089885
331	0.416245135
332	0.4162011401
333	0.4160194115
334	0.4155470685
335	0.4155452431
336	0.4153850657
337	0.4152197972
338	0.4147826362
339	0.4144143463
