,대출등급
22970,3
76722,0
95799,1
1495,4
95288,1
20216,2
7975,1
49405,0
44823,1
68378,1
16516,2
4448,2
76010,1
21619,2
52709,2
74690,2
65161,4
59440,1
59111,2
14837,4
36680,2
82434,1
5654,1
76452,4
82271,2
54969,3
9952,4
80596,0
15318,3
15101,1
13873,3
4027,1
34277,2
81477,1
49725,2
71341,1
49962,1
93738,0
79152,0
26510,3
53870,0
6493,0
25486,3
92565,0
81415,4
62634,0
59817,4
52466,2
76611,2
15773,0
53855,0
20778,2
76732,1
76994,1
95602,2
68814,1
2312,1
31319,0
45658,2
76923,0
30114,3
62847,1
25451,2
17212,2
75950,2
34935,3
16704,1
49194,3
75609,2
92454,0
89313,2
85221,1
79088,2
24679,0
87551,3
38869,1
2186,4
71697,1
53960,2
42230,3
59494,3
88289,3
467,0
75308,2
74096,0
37515,1
5594,3
14862,4
21238,1
83219,4
52145,1
30444,0
88265,0
6140,1
85921,2
78588,0
67776,2
83579,1
59,0
92581,1
5023,3
73383,1
52208,1
67016,5
92772,2
82447,3
51413,2
76645,1
94086,2
34922,1
86700,3
39784,4
94003,4
95582,4
47787,1
26195,2
7565,0
48251,2
47243,1
95770,3
94902,1
54256,0
46428,1
46786,4
23135,0
85997,2
82936,3
83961,2
8833,1
14707,1
58684,1
77822,1
36235,1
20804,2
5043,0
44409,0
29458,1
68679,3
48248,3
7667,2
7586,3
81022,1
83708,5
23312,2
95784,0
91777,4
54163,1
6337,0
88397,3
55004,5
10754,0
69145,2
95337,4
89690,2
68857,2
73452,1
1706,1
26063,2
93226,2
52679,0
94225,2
56058,2
52688,1
14279,1
76425,1
5661,6
18597,0
56252,3
66911,0
50702,2
33646,0
86503,4
81139,1
55376,2
66234,1
30382,2
48733,0
37003,3
75607,3
218,3
56957,3
28499,3
60259,0
72276,2
88558,4
42798,2
60439,0
66326,1
77287,3
26269,1
93485,0
6383,2
13058,1
41598,2
26442,2
3205,1
82380,1
19317,4
61395,2
44733,2
20280,1
29388,1
69434,3
77937,1
200,3
15524,2
40998,5
65101,1
85931,2
73260,2
44179,1
41982,0
89060,0
73219,0
81232,1
55445,0
78545,0
60938,1
7148,0
11148,0
29249,1
60102,1
35288,1
46888,2
28228,2
44799,2
21152,4
36492,1
6036,0
95928,0
42815,0
13243,0
59638,4
43262,2
95056,3
10686,2
51285,0
28720,0
76341,0
32518,3
16917,1
58939,1
19442,0
50355,3
65067,4
20866,2
59252,1
57819,1
12499,0
61225,3
3398,2
11842,2
42446,2
81286,2
1987,2
31725,2
75324,3
66888,1
7482,3
43423,3
79901,0
44809,1
92087,1
77812,1
56544,3
64341,2
77228,3
49539,2
43827,1
38507,1
22882,1
29583,2
61,1
24833,2
41831,3
8014,1
35444,1
71061,0
65482,2
65943,1
43261,2
