iter	MultiClass
0	1.742354708
1	1.592904199
2	1.466755041
3	1.368982671
4	1.290270605
5	1.211581992
6	1.136226888
7	1.071057773
8	1.014527627
9	0.9647630617
10	0.9203919333
11	0.8797872923
12	0.84378727
13	0.8094600238
14	0.7820047173
15	0.7524579179
16	0.7274822701
17	0.7018971186
18	0.6784208908
19	0.6547650951
20	0.633529567
21	0.6142158521
22	0.5949948684
23	0.5782232457
24	0.5619521058
25	0.5442074701
26	0.5300352075
27	0.5155031753
28	0.5032661633
29	0.4916709493
30	0.4809460024
31	0.4686794849
32	0.4578830087
33	0.4491115988
34	0.4403592675
35	0.4320966753
36	0.4234935508
37	0.4144634376
38	0.4061334045
39	0.3984626636
40	0.3924469194
41	0.3860396185
42	0.3807450613
43	0.3751837512
44	0.3702343218
45	0.3648911171
46	0.3602256178
47	0.3559955372
48	0.3505846064
49	0.3465610637
50	0.3420798227
51	0.3374459205
52	0.3340941567
53	0.3312242089
54	0.3281900957
55	0.3254807956
56	0.3226948637
57	0.3207912102
58	0.3184000677
59	0.315993713
60	0.3134986836
61	0.3117106115
62	0.3089275319
63	0.3070385836
64	0.3034838314
65	0.3014887777
66	0.2993270231
67	0.2974101223
68	0.2956219233
69	0.2930157495
70	0.2915117976
71	0.2904492542
72	0.2892145273
73	0.2871088996
74	0.285691499
75	0.2847493225
76	0.2836960333
77	0.2824924281
78	0.2814743489
79	0.280144799
80	0.2792922796
81	0.2774712476
82	0.276243588
83	0.275414204
84	0.2736089546
85	0.27207049
86	0.270933882
87	0.2699342476
88	0.2688682181
89	0.267456744
90	0.2664026941
91	0.2654288096
92	0.2647708643
93	0.2638713772
94	0.2631405399
95	0.2620605025
96	0.2611555802
97	0.2600709157
98	0.2592816697
99	0.25876626
100	0.2579825443
101	0.2571528433
102	0.2563363263
103	0.2553799042
104	0.2547058593
105	0.253776122
106	0.2532222379
107	0.2523433982
108	0.251757204
109	0.2507357654
110	0.2499040044
111	0.249323499
112	0.248513352
113	0.2477341367
114	0.2473472704
115	0.2465561546
116	0.2460508546
117	0.2455541591
118	0.244948601
119	0.2441303409
120	0.2437717757
121	0.2432108243
122	0.2428786745
123	0.2424201998
124	0.2419102886
125	0.2413061408
126	0.2408806417
127	0.2402770327
128	0.2399801246
129	0.2388699162
130	0.2385475435
131	0.2373182993
132	0.2370810359
133	0.2365853386
134	0.2360207427
135	0.2357427548
136	0.2353181273
137	0.2350348943
138	0.2347207616
139	0.233894309
140	0.233529548
141	0.232667109
142	0.2323324397
143	0.2320809782
144	0.2314561354
145	0.2312001419
146	0.2306264185
147	0.23021507
148	0.2293503492
149	0.2281880389
150	0.2276799342
151	0.2273195308
152	0.2271187293
153	0.2268955213
154	0.2264710522
155	0.2261914639
156	0.2258692021
157	0.2254710534
158	0.2251297604
159	0.2249127324
160	0.224628422
161	0.2244338004
162	0.2242476247
163	0.2240089985
164	0.2230263195
165	0.2227499321
166	0.2225226992
167	0.2223327522
168	0.222117499
169	0.2214611225
170	0.2211737854
171	0.220811227
172	0.2206638584
173	0.2204214925
174	0.2201296077
175	0.2199774694
176	0.2197188296
177	0.2195453784
178	0.2189577897
179	0.2186747945
180	0.2185513693
181	0.2182542236
