iter	Passed	Remaining
0	15	15559
1	30	15311
2	45	15238
3	61	15212
4	79	15745
5	98	16257
6	114	16217
7	130	16189
8	145	15973
9	160	15873
10	182	16387
11	196	16190
12	218	16626
13	233	16472
14	248	16322
15	263	16208
16	279	16157
17	294	16068
18	309	15987
19	324	15904
20	339	15822
21	354	15749
22	370	15720
23	383	15610
24	398	15527
25	412	15443
26	427	15414
27	443	15391
28	458	15360
29	474	15336
30	489	15305
31	504	15265
32	520	15243
33	534	15182
34	549	15141
35	571	15291
36	585	15244
37	598	15159
38	613	15116
39	628	15089
40	642	15024
41	655	14955
42	669	14900
43	684	14865
44	698	14822
45	711	14755
46	726	14721
47	740	14694
48	754	14641
49	768	14598
50	782	14559
51	799	14573
52	815	14562
53	829	14528
54	843	14492
55	857	14450
56	870	14408
57	885	14377
58	899	14352
59	914	14322
60	928	14286
61	943	14267
62	956	14228
63	970	14191
64	984	14158
65	999	14138
66	1013	14110
67	1027	14079
68	1040	14043
69	1055	14017
70	1070	14000
71	1083	13961
72	1097	13940
73	1111	13902
74	1125	13875
75	1138	13839
76	1151	13808
77	1165	13781
78	1179	13745
79	1192	13710
80	1207	13694
81	1222	13681
82	1236	13663
83	1250	13634
84	1263	13606
85	1277	13578
86	1290	13546
87	1304	13521
88	1318	13496
89	1331	13464
90	1344	13434
91	1358	13404
92	1372	13381
93	1386	13359
94	1400	13338
95	1413	13314
96	1427	13286
97	1448	13327
98	1461	13302
99	1474	13272
100	1488	13249
101	1502	13225
102	1515	13194
103	1528	13165
104	1541	13143
105	1555	13121
106	1568	13093
107	1582	13071
108	1595	13042
109	1608	13015
110	1621	12987
111	1634	12960
112	1648	12936
113	1662	12917
114	1676	12904
115	1689	12878
116	1705	12872
117	1719	12850
118	1732	12826
119	1746	12810
120	1761	12792
121	1774	12773
122	1788	12751
123	1802	12731
124	1815	12707
125	1828	12683
126	1841	12657
127	1854	12631
128	1867	12610
129	1881	12588
130	1896	12578
131	1910	12562
132	1924	12545
133	1938	12525
134	1951	12502
135	1965	12485
136	1979	12470
137	1993	12453
138	2007	12434
139	2020	12411
140	2033	12388
141	2048	12377
142	2062	12362
143	2076	12343
144	2089	12323
145	2103	12305
146	2118	12290
147	2131	12272
148	2145	12256
149	2159	12235
150	2172	12213
151	2186	12199
152	2199	12178
